"Source:","/home/david/Documents/WaterChangeSystem/KiCADProjects/WaterChangeCircuits/WaterChangeCircuits.sch"
"Date:","Sat 29 May 2021 09:29:03 AM CDT"
"Tool:","Eeschema 5.1.10-88a1d61d58~88~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","120"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"2","1","J1","Conn_01x25","Connector_Generic:Conn_01x25","Connector_PinSocket_2.54mm:PinSocket_1x25_P2.54mm_Vertical","~"
"3","1","J2","Conn_01x15","Connector_Generic:Conn_01x15","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~"
"4","43","J3, J4, J5, J6, J7, J8, J9, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J50, J51, J52, J53","Conn_01x02","Connector_Generic:Conn_01x02","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"5","25","J10, J11, J13, J14, J15, J16, J17, J58, J59, J60, J61, J62, J63, J64, J65, J66, J67, J68, J69, J70, J71, J72, J73, J74, J75","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"6","1","J12","Conn_01x12","Connector_Generic:Conn_01x12","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
"7","1","J54","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~"
"8","1","J55","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"9","1","J56","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"10","1","J57","Conn_01x16","Connector_Generic:Conn_01x16","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
"11","41","U1, U2, U3, U4, U5, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
